County,year,month,Active.Ingredient.new,total,ym
COCHISE,2007,7,CHLORPYRIFOS,10.17941184,7/1/2007
COCHISE,2007,8,CHLORPYRIFOS,27.30483392,8/1/2007
COCHISE,2007,9,CHLORPYRIFOS,22.81066632,9/1/2007
COCHISE,2008,4,CHLORPYRIFOS,16.65768,4/1/2008
COCHISE,2008,6,CHLORPYRIFOS,6.24,6/1/2008
COCHISE,2008,7,CHLORPYRIFOS,12.9675,7/1/2008
COCHISE,2008,8,CHLORPYRIFOS,6.24,8/1/2008
COCHISE,2008,9,CHLORPYRIFOS,10.4338,9/1/2008
COCHISE,2008,10,CHLORPYRIFOS,2.08,10/1/2008
COCHISE,2009,3,CHLORPYRIFOS,7.3294,3/1/2009
COCHISE,2009,6,CHLORPYRIFOS,43.68,6/1/2009
COCHISE,2009,7,CHLORPYRIFOS,9.2768,7/1/2009
COCHISE,2009,8,CHLORPYRIFOS,8.944,8/1/2009
COCHISE,2009,9,CHLORPYRIFOS,8.32,9/1/2009
COCHISE,2010,3,CHLORPYRIFOS,1.9214,3/1/2010
COCHISE,2010,4,CHLORPYRIFOS,10.75321,4/1/2010
COCHISE,2010,7,CHLORPYRIFOS,53.2272,7/1/2010
COCHISE,2010,8,CHLORPYRIFOS,31.616,8/1/2010
COCHISE,2010,9,CHLORPYRIFOS,17.7424,9/1/2010
COCHISE,2011,3,CHLORPYRIFOS,7.88,3/1/2011
COCHISE,2011,3,LAMBDA-CYHALOTHRIN,0.979375,3/1/2011
COCHISE,2011,4,CHLORPYRIFOS,7.1125,4/1/2011
COCHISE,2011,4,ETHEPHON,3.98,4/1/2011
COCHISE,2011,4,LAMBDA-CYHALOTHRIN,151.095625,4/1/2011
COCHISE,2011,5,BIFENTHRIN,0.325,5/1/2011
COCHISE,2011,6,BIFENTHRIN,0.8,6/1/2011
COCHISE,2011,6,CHLORPYRIFOS,4,6/1/2011
COCHISE,2011,6,DIMETHOATE,6.66375,6/1/2011
COCHISE,2011,7,BIFENTHRIN,68.41375,7/1/2011
COCHISE,2011,7,CHLORPYRIFOS,16.6048,7/1/2011
COCHISE,2011,7,DIMETHOATE,3.68,7/1/2011
COCHISE,2011,7,LAMBDA-CYHALOTHRIN,131.660025,7/1/2011
COCHISE,2011,8,BIFENTHRIN,40.1639,8/1/2011
COCHISE,2011,8,CHLORPYRIFOS,21.15935,8/1/2011
COCHISE,2011,8,DIMETHOATE,25.91,8/1/2011
COCHISE,2011,8,LAMBDA-CYHALOTHRIN,0.621875,8/1/2011
COCHISE,2011,8,METHOMYL,1.5,8/1/2011
COCHISE,2011,9,ACEPHATE,0.0625,9/1/2011
COCHISE,2011,9,BIFENTHRIN,11.186875,9/1/2011
COCHISE,2011,9,CHLORPYRIFOS,9.1728,9/1/2011
COCHISE,2011,9,DIMETHOATE,11,9/1/2011
COCHISE,2011,9,LAMBDA-CYHALOTHRIN,2.64,9/1/2011
COCHISE,2011,10,BIFENTHRIN,3.55,10/1/2011
COCHISE,2011,10,CHLORPYRIFOS,4.1728,10/1/2011
COCHISE,2011,10,ETHEPHON,16.5988,10/1/2011
COCHISE,2011,10,LAMBDA-CYHALOTHRIN,0.97,10/1/2011
COCHISE,2012,3,CHLORPYRIFOS,1.32,3/1/2012
COCHISE,2012,3,LAMBDA-CYHALOTHRIN,0.26625,3/1/2012
COCHISE,2012,4,CHLORPYRIFOS,3.25,4/1/2012
COCHISE,2012,4,ETHEPHON,1.81,4/1/2012
COCHISE,2012,4,LAMBDA-CYHALOTHRIN,1.226875,4/1/2012
COCHISE,2012,4,ZETA-CYPERMETHRIN,0.25,4/1/2012
COCHISE,2012,5,BIFENTHRIN,1.5,5/1/2012
COCHISE,2012,5,DIMETHOATE,1.66,5/1/2012
COCHISE,2012,5,ETHEPHON,0.66,5/1/2012
COCHISE,2012,6,BIFENTHRIN,0.8,6/1/2012
COCHISE,2012,6,CHLORPYRIFOS,24.64795,6/1/2012
COCHISE,2012,6,LAMBDA-CYHALOTHRIN,0.24,6/1/2012
COCHISE,2012,7,BETA-CYFLUTHRIN,0.133125,7/1/2012
COCHISE,2012,7,BIFENTHRIN,58.23125,7/1/2012
COCHISE,2012,7,CHLORPYRIFOS,51.276,7/1/2012
COCHISE,2012,7,DIMETHOATE,5.94,7/1/2012
COCHISE,2012,7,LAMBDA-CYHALOTHRIN,1.4,7/1/2012
COCHISE,2012,8,ACEPHATE,0.09375,8/1/2012
COCHISE,2012,8,BIFENTHRIN,31.7225,8/1/2012
COCHISE,2012,8,CHLORPYRIFOS,24.9504,8/1/2012
COCHISE,2012,8,DIMETHOATE,33.904,8/1/2012
COCHISE,2012,8,LAMBDA-CYHALOTHRIN,6.475625,8/1/2012
COCHISE,2012,9,BIFENTHRIN,11.52625,9/1/2012
COCHISE,2012,9,CHLORPYRIFOS,17.38,9/1/2012
COCHISE,2012,9,DIMETHOATE,0.5,9/1/2012
COCHISE,2012,9,LAMBDA-CYHALOTHRIN,3.68,9/1/2012
COCHISE,2012,10,BIFENTHRIN,0.8,10/1/2012
COCHISE,2012,10,CHLORPYRIFOS,551.55,10/1/2012
COCHISE,2012,10,ETHEPHON,8.1,10/1/2012
COCHISE,2012,10,LAMBDA-CYHALOTHRIN,0.72,10/1/2012
COCHISE,2013,3,CHLORPYRIFOS,9.51,3/1/2013
COCHISE,2013,3,DIMETHOATE,1,3/1/2013
COCHISE,2013,4,BIFENTHRIN,0.1625,4/1/2013
COCHISE,2013,4,CHLORPYRIFOS,27.3564,4/1/2013
COCHISE,2013,4,ETHEPHON,2.83,4/1/2013
COCHISE,2013,4,LAMBDA-CYHALOTHRIN,1.50775,4/1/2013
COCHISE,2013,5,BIFENTHRIN,0.1625,5/1/2013
COCHISE,2013,5,DIMETHOATE,2.25,5/1/2013
COCHISE,2013,5,LAMBDA-CYHALOTHRIN,2.54,5/1/2013
COCHISE,2013,6,BIFENTHRIN,215.95375,6/1/2013
COCHISE,2013,6,CHLORPYRIFOS,17.791712,6/1/2013
COCHISE,2013,6,DIMETHOATE,8.22,6/1/2013
COCHISE,2013,6,LAMBDA-CYHALOTHRIN,0.68,6/1/2013
COCHISE,2013,7,BIFENTHRIN,53.028125,7/1/2013
COCHISE,2013,7,CHLORPYRIFOS,61.5008,7/1/2013
COCHISE,2013,7,DIMETHOATE,28.66,7/1/2013
COCHISE,2013,7,LAMBDA-CYHALOTHRIN,2.88,7/1/2013
COCHISE,2013,7,METHOMYL,0.5,7/1/2013
COCHISE,2013,8,ACEPHATE,1,8/1/2013
COCHISE,2013,8,BIFENTHRIN,42.3075,8/1/2013
COCHISE,2013,8,CHLORPYRIFOS,57.9332,8/1/2013
COCHISE,2013,8,DIMETHOATE,43.85625,8/1/2013
COCHISE,2013,8,LAMBDA-CYHALOTHRIN,5.475,8/1/2013
COCHISE,2013,9,ACEPHATE,3.003125,9/1/2013
COCHISE,2013,9,BIFENTHRIN,17.5975,9/1/2013
COCHISE,2013,9,CHLORPYRIFOS,66.6656,9/1/2013
COCHISE,2013,9,DIMETHOATE,4.96,9/1/2013
COCHISE,2013,9,LAMBDA-CYHALOTHRIN,1.665,9/1/2013
COCHISE,2013,10,BETA-CYFLUTHRIN,0.2,10/1/2013
COCHISE,2013,10,BIFENTHRIN,2.6375,10/1/2013
COCHISE,2013,10,DIMETHOATE,0.66625,10/1/2013
COCHISE,2013,10,ETHEPHON,36.63125,10/1/2013
COCHISE,2013,10,LAMBDA-CYHALOTHRIN,0.5875,10/1/2013
COCHISE,2014,3,CHLORPYRIFOS,42.01,3/1/2014
COCHISE,2014,3,LAMBDA-CYHALOTHRIN,179.5705,3/1/2014
COCHISE,2014,4,CHLORPYRIFOS,3.4375,4/1/2014
COCHISE,2014,4,DIMETHOATE,0.66625,4/1/2014
COCHISE,2014,4,ETHEPHON,0.09375,4/1/2014
COCHISE,2014,4,LAMBDA-CYHALOTHRIN,0.838125,4/1/2014
COCHISE,2014,5,BIFENTHRIN,37.75,5/1/2014
COCHISE,2014,5,CHLORPYRIFOS,36,5/1/2014
COCHISE,2014,5,DIMETHOATE,6.0864,5/1/2014
COCHISE,2014,5,LAMBDA-CYHALOTHRIN,2.445,5/1/2014
COCHISE,2014,5,ZETA-CYPERMETHRIN,0.26875,5/1/2014
COCHISE,2014,6,BIFENTHRIN,2.925,6/1/2014
COCHISE,2014,6,CHLORPYRIFOS,3.8,6/1/2014
COCHISE,2014,6,ZETA-CYPERMETHRIN,0.9,6/1/2014
COCHISE,2014,7,BIFENTHRIN,205.945,7/1/2014
COCHISE,2014,7,DIMETHOATE,62.855,7/1/2014
COCHISE,2014,7,LAMBDA-CYHALOTHRIN,0.8,7/1/2014
COCHISE,2014,8,BIFENTHRIN,40.2175,8/1/2014
COCHISE,2014,8,CARBARYL,16.6,8/1/2014
COCHISE,2014,8,CHLORPYRIFOS,4.8328,8/1/2014
COCHISE,2014,8,DIMETHOATE,13.75,8/1/2014
COCHISE,2014,8,LAMBDA-CYHALOTHRIN,3.44,8/1/2014
COCHISE,2014,8,ZETA-CYPERMETHRIN,0.925,8/1/2014
COCHISE,2014,9,ACEPHATE,0.109375,9/1/2014
COCHISE,2014,9,BETA-CYFLUTHRIN,0.2,9/1/2014
COCHISE,2014,9,BIFENTHRIN,2.8,9/1/2014
COCHISE,2014,9,CHLORPYRIFOS,34,9/1/2014
COCHISE,2014,9,LAMBDA-CYHALOTHRIN,0.64,9/1/2014
COCHISE,2014,10,BIFENTHRIN,0.4,10/1/2014
COCHISE,2014,10,ETHEPHON,28.733,10/1/2014
COCHISE,2014,10,LAMBDA-CYHALOTHRIN,0.24,10/1/2014
COCHISE,2014,11,ETHEPHON,2,11/1/2014
COCHISE,2015,2,CHLORPYRIFOS,7.692,2/1/2015
COCHISE,2015,2,LAMBDA-CYHALOTHRIN,1.16,2/1/2015
COCHISE,2015,3,BIFENTHRIN,1.183125,3/1/2015
COCHISE,2015,3,CHLORPYRIFOS,44.8464,3/1/2015
COCHISE,2015,3,LAMBDA-CYHALOTHRIN,4.91,3/1/2015
COCHISE,2015,4,LAMBDA-CYHALOTHRIN,0.72,4/1/2015
COCHISE,2015,6,BIFENTHRIN,3.965,6/1/2015
COCHISE,2015,6,CHLORPYRIFOS,20.613632,6/1/2015
COCHISE,2015,7,BIFENTHRIN,29.310625,7/1/2015
COCHISE,2015,7,CHLORPYRIFOS,4,7/1/2015
COCHISE,2015,7,DIMETHOATE,2.97,7/1/2015
COCHISE,2015,7,LAMBDA-CYHALOTHRIN,0.59375,7/1/2015
COCHISE,2015,8,BIFENTHRIN,26.2575,8/1/2015
COCHISE,2015,8,CHLORPYRIFOS,54.1518,8/1/2015
COCHISE,2015,8,DIMETHOATE,6,8/1/2015
COCHISE,2015,8,ESFENVALERATE,2.18,8/1/2015
COCHISE,2015,8,LAMBDA-CYHALOTHRIN,1.138125,8/1/2015
COCHISE,2015,8,NALED,0.1,8/1/2015
COCHISE,2015,9,BETA-CYFLUTHRIN,0.325,9/1/2015
COCHISE,2015,9,BIFENTHRIN,0.4,9/1/2015
COCHISE,2015,10,BETA-CYFLUTHRIN,0.4,10/1/2015
COCHISE,2015,10,BIFENTHRIN,0.4,10/1/2015
COCHISE,2015,10,CHLORPYRIFOS,12,10/1/2015
COCHISE,2016,3,CHLORPYRIFOS,16,3/1/2016
COCHISE,2016,3,LAMBDA-CYHALOTHRIN,1.44,3/1/2016
COCHISE,2016,4,CHLORPYRIFOS,18.8,4/1/2016
COCHISE,2016,4,ETHEPHON,18.94,4/1/2016
COCHISE,2016,4,LAMBDA-CYHALOTHRIN,5.85125,4/1/2016
COCHISE,2016,5,BIFENTHRIN,0.6875,5/1/2016
COCHISE,2016,6,BIFENTHRIN,1.6,6/1/2016
COCHISE,2016,6,DIMETHOATE,1,6/1/2016
COCHISE,2016,7,BIFENTHRIN,92.4275,7/1/2016
COCHISE,2016,7,CHLORPYRIFOS,18.694144,7/1/2016
COCHISE,2016,7,CYFLUTHRIN,0.875,7/1/2016
COCHISE,2016,7,LAMBDA-CYHALOTHRIN,0.8925,7/1/2016
COCHISE,2016,8,ACEPHATE,0.1875,8/1/2016
COCHISE,2016,8,BETA-CYFLUTHRIN,0.325,8/1/2016
COCHISE,2016,8,BIFENTHRIN,24.36,8/1/2016
COCHISE,2016,8,CHLORPYRIFOS,4.1728,8/1/2016
COCHISE,2016,8,DIMETHOATE,11,8/1/2016
COCHISE,2016,8,ESFENVALERATE,4.265,8/1/2016
COCHISE,2016,8,LAMBDA-CYHALOTHRIN,0.95,8/1/2016
COCHISE,2016,8,NALED,0.1,8/1/2016
COCHISE,2016,8,PYRETHRINS,0.4625,8/1/2016
COCHISE,2016,8,ZETA-CYPERMETHRIN,0.5375,8/1/2016
COCHISE,2016,9,ACEPHATE,0.125,9/1/2016
COCHISE,2016,9,BIFENTHRIN,1.35,9/1/2016
COCHISE,2016,9,CHLORPYRIFOS,15.913344,9/1/2016
COCHISE,2016,9,DIMETHOATE,1.32,9/1/2016
COCHISE,2016,9,ESFENVALERATE,4.265,9/1/2016
COCHISE,2016,9,LAMBDA-CYHALOTHRIN,4.045,9/1/2016
COCHISE,2016,9,ZETA-CYPERMETHRIN,0.26875,9/1/2016
COCHISE,2016,10,BIFENTHRIN,0.964375,10/1/2016
COCHISE,2016,10,CHLORPYRIFOS,4.1728,10/1/2016
COCHISE,2016,10,CYFLUTHRIN,0.4,10/1/2016
COCHISE,2016,10,ETHEPHON,17.49125,10/1/2016
COCHISE,2016,10,LAMBDA-CYHALOTHRIN,0.95375,10/1/2016
COCHISE,2016,11,BIFENTHRIN,1,11/1/2016
GILA,2013,9,ACEPHATE,0.003125,9/1/2013
GILA,2013,9,BIFENTHRIN,0.4,9/1/2013
GILA,2014,7,BIFENTHRIN,0.4,7/1/2014
GILA,2014,9,BIFENTHRIN,0.8,9/1/2014
GILA,2014,10,BIFENTHRIN,0.4,10/1/2014
GILA,2014,12,BENSULIDE,12.45,12/1/2014
GILA,2015,8,ACEPHATE,0.75,8/1/2015
GILA,2015,8,BIFENTHRIN,0.8,8/1/2015
GILA,2016,7,BIFENTHRIN,0.8,7/1/2016
GILA,2016,7,CHLORPYRIFOS,4.1728,7/1/2016
GILA,2016,9,CYFLUTHRIN,1.2,9/1/2016
GILA,2016,10,CYFLUTHRIN,0.8,10/1/2016
GRAHAM,2006,3,CHLORPYRIFOS,21.09112512,3/1/2006
GRAHAM,2008,4,CHLORPYRIFOS,2.6611,4/1/2008
GRAHAM,2008,8,CHLORPYRIFOS,1.04,8/1/2008
GRAHAM,2009,3,CHLORPYRIFOS,0.6864,3/1/2009
GRAHAM,2010,4,CHLORPYRIFOS,5.2,4/1/2010
GRAHAM,2010,7,CHLORPYRIFOS,2.1424,7/1/2010
GRAHAM,2010,8,CHLORPYRIFOS,9.2768,8/1/2010
GRAHAM,2011,3,LAMBDA-CYHALOTHRIN,0.26625,3/1/2011
GRAHAM,2011,4,CHLORPYRIFOS,0.66,4/1/2011
GRAHAM,2011,4,ETHEPHON,2.985,4/1/2011
GRAHAM,2011,4,LAMBDA-CYHALOTHRIN,0.2,4/1/2011
GRAHAM,2011,6,DIMETHOATE,6,6/1/2011
GRAHAM,2011,8,ACEPHATE,0.0625,8/1/2011
GRAHAM,2011,8,BIFENTHRIN,8.7775,8/1/2011
GRAHAM,2011,8,CHLORPYRIFOS,1,8/1/2011
GRAHAM,2011,8,DIMETHOATE,20.4,8/1/2011
GRAHAM,2011,8,LAMBDA-CYHALOTHRIN,0.48,8/1/2011
GRAHAM,2011,10,ETHEPHON,1.06,10/1/2011
GRAHAM,2012,4,CHLORPYRIFOS,1.99875,4/1/2012
GRAHAM,2012,4,DIMETHOATE,1.32,4/1/2012
GRAHAM,2012,4,ETHEPHON,2.85,4/1/2012
GRAHAM,2012,4,LAMBDA-CYHALOTHRIN,0.26625,4/1/2012
GRAHAM,2012,7,BIFENTHRIN,7.15,7/1/2012
GRAHAM,2012,7,CHLORPYRIFOS,2,7/1/2012
GRAHAM,2012,7,DIMETHOATE,0.5,7/1/2012
GRAHAM,2012,8,ACEPHATE,0.03125,8/1/2012
GRAHAM,2012,8,BIFENTHRIN,4.99375,8/1/2012
GRAHAM,2012,8,CHLORPYRIFOS,1,8/1/2012
GRAHAM,2012,8,DIMETHOATE,9.5,8/1/2012
GRAHAM,2012,8,LAMBDA-CYHALOTHRIN,0.48,8/1/2012
GRAHAM,2012,10,BIFENTHRIN,0.4,10/1/2012
GRAHAM,2013,3,CHLORPYRIFOS,0.66,3/1/2013
GRAHAM,2013,4,CHLORPYRIFOS,4,4/1/2013
GRAHAM,2013,4,ETHEPHON,170.64,4/1/2013
GRAHAM,2013,4,LAMBDA-CYHALOTHRIN,0.225,4/1/2013
GRAHAM,2013,7,BIFENTHRIN,9.55,7/1/2013
GRAHAM,2013,7,CHLORPYRIFOS,5.0864,7/1/2013
GRAHAM,2013,7,DIMETHOATE,11.88,7/1/2013
GRAHAM,2013,8,ACEPHATE,1,8/1/2013
GRAHAM,2013,8,BIFENTHRIN,10.8,8/1/2013
GRAHAM,2013,8,CHLORPYRIFOS,4,8/1/2013
GRAHAM,2013,8,DIMETHOATE,20.9,8/1/2013
GRAHAM,2013,8,LAMBDA-CYHALOTHRIN,1.625625,8/1/2013
GRAHAM,2013,9,ACEPHATE,1,9/1/2013
GRAHAM,2013,9,BIFENTHRIN,0.8,9/1/2013
GRAHAM,2013,9,CHLORPYRIFOS,0.5,9/1/2013
GRAHAM,2013,9,LAMBDA-CYHALOTHRIN,0.4,9/1/2013
GRAHAM,2014,4,BETA-CYFLUTHRIN,0.15,4/1/2014
GRAHAM,2014,4,ETHEPHON,5.5,4/1/2014
GRAHAM,2014,6,LAMBDA-CYHALOTHRIN,0.23125,6/1/2014
GRAHAM,2014,7,BIFENTHRIN,5.2,7/1/2014
GRAHAM,2014,7,CHLORPYRIFOS,3.0864,7/1/2014
GRAHAM,2014,7,DIMETHOATE,5,7/1/2014
GRAHAM,2014,8,ACEPHATE,0.13125,8/1/2014
GRAHAM,2014,8,BIFENTHRIN,7.6,8/1/2014
GRAHAM,2014,8,CHLORPYRIFOS,0.66,8/1/2014
GRAHAM,2014,8,DIMETHOATE,7,8/1/2014
GRAHAM,2014,8,LAMBDA-CYHALOTHRIN,0.83125,8/1/2014
GRAHAM,2014,9,BIFENTHRIN,1.2,9/1/2014
GRAHAM,2014,9,ESFENVALERATE,0.5,9/1/2014
GRAHAM,2014,9,LAMBDA-CYHALOTHRIN,0.4,9/1/2014
GRAHAM,2014,10,BIFENTHRIN,0.4,10/1/2014
GRAHAM,2015,3,CHLORPYRIFOS,1,3/1/2015
GRAHAM,2015,3,LAMBDA-CYHALOTHRIN,0.2,3/1/2015
GRAHAM,2015,4,ETHEPHON,10.3,4/1/2015
GRAHAM,2015,7,BIFENTHRIN,4.33125,7/1/2015
GRAHAM,2015,7,CHLORPYRIFOS,2.0864,7/1/2015
GRAHAM,2015,8,BIFENTHRIN,58.2025,8/1/2015
GRAHAM,2015,8,ESFENVALERATE,2.34375,8/1/2015
GRAHAM,2015,8,LAMBDA-CYHALOTHRIN,0.2,8/1/2015
GRAHAM,2015,9,ACEPHATE,1.5,9/1/2015
GRAHAM,2015,9,BETA-CYFLUTHRIN,0.4,9/1/2015
GRAHAM,2015,9,BIFENTHRIN,0.8,9/1/2015
GRAHAM,2015,9,LAMBDA-CYHALOTHRIN,0.9125,9/1/2015
GRAHAM,2015,10,ETHEPHON,15.53,10/1/2015
GRAHAM,2016,4,ETHEPHON,19.2,4/1/2016
GRAHAM,2016,6,DIMETHOATE,5,6/1/2016
GRAHAM,2016,7,BIFENTHRIN,4,7/1/2016
GRAHAM,2016,7,CHLORPYRIFOS,12.5184,7/1/2016
GRAHAM,2016,8,ACEPHATE,1.6875,8/1/2016
GRAHAM,2016,8,BETA-CYFLUTHRIN,0.15,8/1/2016
GRAHAM,2016,8,BIFENTHRIN,3.2,8/1/2016
GRAHAM,2016,8,CHLORPYRIFOS,3,8/1/2016
GRAHAM,2016,9,CYFLUTHRIN,0.4,9/1/2016
GRAHAM,2016,9,ESFENVALERATE,6.27,9/1/2016
GRAHAM,2016,9,LAMBDA-CYHALOTHRIN,0.2,9/1/2016
GRAHAM,2016,10,BIFENTHRIN,1.945625,10/1/2016
GRAHAM,2016,10,ETHEPHON,8.75,10/1/2016
GRAHAM,2016,10,LAMBDA-CYHALOTHRIN,0.8,10/1/2016
GREENLEE,2014,3,BETA-CYFLUTHRIN,1.4,3/1/2014
GREENLEE,2015,2,LAMBDA-CYHALOTHRIN,0.625,2/1/2015
LA PAZ,2000,12,LAMBDA-CYHALOTHRIN,0.96,12/1/2000
LA PAZ,2006,2,CHLORPYRIFOS,0.510586752,2/1/2006
LA PAZ,2006,2,MALATHION,38.3007456,2/1/2006
LA PAZ,2006,3,CHLORPYRIFOS,1.32979,3/1/2006
LA PAZ,2006,3,MALATHION,19.47466643,3/1/2006
LA PAZ,2006,4,CHLORPYRIFOS,5.614794432,4/1/2006
LA PAZ,2006,4,MALATHION,23.84184774,4/1/2006
LA PAZ,2006,6,CHLORPYRIFOS,3.63455872,6/1/2006
LA PAZ,2006,6,MALATHION,1.569290112,6/1/2006
LA PAZ,2006,7,CHLORPYRIFOS,32.90509248,7/1/2006
LA PAZ,2006,8,CHLORPYRIFOS,52.78351936,8/1/2006
LA PAZ,2006,8,MALATHION,1.30029952,8/1/2006
LA PAZ,2006,9,CHLORPYRIFOS,59.11142656,9/1/2006
LA PAZ,2006,9,DIAZINON,1.04118976,9/1/2006
LA PAZ,2006,10,CHLORPYRIFOS,1.60000256,10/1/2006
LA PAZ,2006,10,DIAZINON,0.558628928,10/1/2006
LA PAZ,2007,1,CHLORPYRIFOS,0.78,1/1/2007
LA PAZ,2007,2,CHLORPYRIFOS,61.3275,2/1/2007
LA PAZ,2007,2,MALATHION,2.496,2/1/2007
LA PAZ,2007,3,MALATHION,1.18857024,3/1/2007
LA PAZ,2007,6,CHLORPYRIFOS,1.99573504,6/1/2007
LA PAZ,2007,7,CHLORPYRIFOS,8.843501888,7/1/2007
LA PAZ,2007,8,CHLORPYRIFOS,12.96745216,8/1/2007
LA PAZ,2007,8,MALATHION,1.83989312,8/1/2007
LA PAZ,2007,9,CHLORPYRIFOS,21.9232,9/1/2007
LA PAZ,2007,9,DIAZINON,1.04,9/1/2007
LA PAZ,2007,10,CHLORPYRIFOS,23.42496,10/1/2007
LA PAZ,2007,10,DIAZINON,0.0845,10/1/2007
LA PAZ,2008,2,MALATHION,4.2328,2/1/2008
LA PAZ,2008,3,CHLORPYRIFOS,2.6832,3/1/2008
LA PAZ,2008,3,MALATHION,28.9744,3/1/2008
LA PAZ,2008,4,CHLORPYRIFOS,2.09092,4/1/2008
LA PAZ,2008,4,MALATHION,5.148,4/1/2008
LA PAZ,2008,5,CHLORPYRIFOS,0.8112,5/1/2008
LA PAZ,2008,6,CHLORPYRIFOS,25.09803922,6/1/2008
LA PAZ,2008,8,CHLORPYRIFOS,11.9392,8/1/2008
LA PAZ,2008,9,CHLORPYRIFOS,1.7576,9/1/2008
LA PAZ,2008,9,DIAZINON,4.68,9/1/2008
LA PAZ,2008,10,DIAZINON,3.12,10/1/2008
LA PAZ,2009,2,CHLORPYRIFOS,9.95345,2/1/2009
LA PAZ,2009,2,MALATHION,11.96416,2/1/2009
LA PAZ,2009,3,MALATHION,3.9,3/1/2009
LA PAZ,2009,9,CHLORPYRIFOS,0.5096,9/1/2009
LA PAZ,2009,9,DIAZINON,4.68,9/1/2009
LA PAZ,2009,10,MALATHION,3.7635,10/1/2009
LA PAZ,2009,11,CHLORPYRIFOS,4.68,11/1/2009
LA PAZ,2010,2,CHLORPYRIFOS,2.7365,2/1/2010
LA PAZ,2010,2,MALATHION,19.123,2/1/2010
LA PAZ,2010,3,CHLORPYRIFOS,3.46021,3/1/2010
LA PAZ,2010,3,MALATHION,12.2395,3/1/2010
LA PAZ,2010,4,MALATHION,1.144,4/1/2010
LA PAZ,2010,8,CHLORPYRIFOS,2.08,8/1/2010
LA PAZ,2010,9,CHLORPYRIFOS,12.4592,9/1/2010
LA PAZ,2010,9,DIAZINON,1.56,9/1/2010
LA PAZ,2010,9,MALATHION,0.0325,9/1/2010
LA PAZ,2010,10,CHLORPYRIFOS,7.28,10/1/2010
LA PAZ,2010,11,CHLORPYRIFOS,2.9224,11/1/2010
LA PAZ,2011,1,LAMBDA-CYHALOTHRIN,0.111875,1/1/2011
LA PAZ,2011,2,CHLORPYRIFOS,1.495,2/1/2011
LA PAZ,2011,2,DIMETHOATE,2.97,2/1/2011
LA PAZ,2011,2,LAMBDA-CYHALOTHRIN,1.9475,2/1/2011
LA PAZ,2011,2,ZETA-CYPERMETHRIN,0.7025,2/1/2011
LA PAZ,2011,3,BETA-CYFLUTHRIN,0.4625,3/1/2011
LA PAZ,2011,3,CHLORPYRIFOS,1.80625,3/1/2011
LA PAZ,2011,3,DIMETHOATE,1.98,3/1/2011
LA PAZ,2011,3,LAMBDA-CYHALOTHRIN,28.03275,3/1/2011
LA PAZ,2011,3,MALATHION,11.1,3/1/2011
LA PAZ,2011,3,ZETA-CYPERMETHRIN,19.480625,3/1/2011
LA PAZ,2011,4,CHLORPYRIFOS,1,4/1/2011
LA PAZ,2011,4,DIMETHOATE,6.1359,4/1/2011
LA PAZ,2011,4,LAMBDA-CYHALOTHRIN,2.865625,4/1/2011
